Animal,Drug,DateIndex,StimIntensity,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30
ZZ14,Psilocybin stim/resp Baseline,22120-002,1,2.29767101700418e-06,4.6716477299924e-06,1.20443064588471e-05,4.17030278185848e-05,1.26906343211886e-05,1.71045230672462e-05,1.52851025632117e-05,1.40219617605908e-06,1.99697569769341e-05,2.90486095764209e-05,2.53849630098557e-05,1.09835600596853e-05,2.29679117182968e-05,2.23275619646301e-05,1.58545954036526e-05,2.47883981501218e-05,7.5317748269299e-06,3.69424151358544e-06,-3.61019783667871e-06,2.88717310468201e-05,3.33837488142308e-06,3.18779748340603e-05,3.2721054594731e-05,1.6522371879546e-05,1.27709872685955e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,50,1.7081141777453e-05,4.96755910717184e-06,1.44523919516359e-05,1.2919032087666e-05,1.96203927771421e-05,3.24441280099563e-05,-7.6624291978078e-07,-6.754285095667e-06,7.86865894042421e-06,7.19841409591027e-06,2.62261091847904e-05,-4.0480026655132e-06,1.13816277007572e-05,2.46229428739753e-05,5.6407880038023e-06,1.38002687890548e-05,3.35606164298952e-05,4.74848820886109e-06,1.15374095912557e-05,3.12789416057058e-05,4.20237302023452e-06,-1.69770519278245e-05,3.35908516717609e-05,4.22610901296139e-06,-4.39156428910792e-06,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,100,1.46665479405783e-05,3.23833137372276e-06,1.8899331735156e-06,5.13582290295744e-06,1.9862680346705e-05,-6.4210980781354e-06,-6.1483933677664e-06,2.39152504946105e-05,2.07138418772956e-05,4.69209589937236e-05,3.98988922825083e-05,4.5368964492809e-05,-2.31208741752198e-06,3.15375800710171e-05,-5.30461875314359e-07,-5.40133441973012e-07,1.11839981400408e-05,1.65721285156906e-05,3.64942388841882e-05,-2.18007953662891e-05,3.46095766872168e-05,3.51569215126801e-05,1.94122221728321e-05,3.39458456437569e-05,1.76576650119387e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,150,7.3802366387099e-05,5.72515127714723e-05,7.71453051129356e-05,9.4861003162805e-05,5.47286108485423e-05,6.31514703854918e-05,7.86570453783497e-05,5.63695793971419e-05,9.45631618378684e-05,0.000125044040032662,3.39541184075642e-05,7.09017986082472e-05,4.24664540332742e-05,6.94257541908883e-05,6.57468117424287e-05,4.01214929297566e-05,7.11117318132892e-05,2.66250590357231e-05,9.60664474405348e-05,9.79147262114566e-06,2.81846150755882e-05,4.14046589867212e-05,9.96518792817369e-05,9.56836884142831e-05,9.49554159888066e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,200,5.58786814508494e-05,3.6033226933796e-05,6.42549421172589e-05,3.1370553188026e-05,7.20079042366706e-05,7.41898766136728e-05,8.22023648652248e-05,0.000114679896796588,8.57682462083176e-05,8.05686067906208e-05,5.94109806115739e-05,9.23943589441478e-05,9.00685554370284e-05,6.74960756441578e-05,7.15757269063033e-05,2.9179598641349e-05,4.58988979517017e-05,0.000120379423606209,1.89510319614783e-05,5.8077355788555e-05,8.09253542684019e-05,7.53336207708344e-05,4.53603424830362e-05,7.34596833353862e-05,6.95156049914658e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,300,3.06289221043698e-05,5.04803501826245e-05,6.94939808454365e-05,0.000101430669019464,6.75908522680402e-05,6.22553052380681e-05,9.36411306611262e-05,0.000110896158730611,5.33021448063664e-05,4.23725723521784e-05,5.41557783435564e-05,5.33603488293011e-05,6.80645171087235e-05,7.74299624026753e-05,8.37499683257192e-05,6.28937050350942e-05,8.28344491310418e-05,9.33473347686231e-05,9.07120847841725e-05,8.32029836601578e-05,8.83498723851517e-05,8.16666288301349e-05,7.46665464248508e-05,0.000115443872346077,0.000113241832877975,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,400,6.15593744441867e-05,4.82855393784121e-05,2.38711199926911e-05,5.75243866478559e-05,0.000102128164144233,9.15066266315989e-05,7.44038698030636e-05,9.49160312302411e-05,5.04026284033898e-05,9.29633242776617e-05,9.81031989795156e-05,0.000112038316729013,5.09960409544874e-05,8.55233374750242e-05,7.55996516090818e-05,8.23377413325943e-05,8.96063284017146e-05,0.00010171585745411,9.49420500546694e-05,4.85735290567391e-05,7.40697796572931e-05,8.44991518533789e-05,7.39968236302957e-05,0.000121682969620451,2.79702835541684e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,500,9.46869331528433e-05,2.00522208615439e-05,4.69118276669178e-05,6.92807006998919e-05,8.90157389221713e-05,0.00010990154260071,5.25912910234183e-05,7.75929656811059e-05,0.000121411168947816,6.56857955618761e-05,4.86901117255911e-05,0.000129941981867887,7.13591216481291e-05,9.92854475043714e-05,9.48435917962343e-05,3.20810577250086e-05,6.98475632816553e-05,9.51182300923392e-05,5.32676858711056e-05,3.10305040329695e-05,6.94343689247034e-05,6.05271234235261e-05,5.75451376789715e-05,5.36768311576452e-05,0.000125545833725482,0,0,0,0,0
ZZ14,Psilocybin stim/resp Baseline,22120-002,600,5.74691839574371e-05,8.56524056871422e-05,0.000107413456134964,5.85118214075919e-05,8.15746752778068e-05,0.000119661708595231,0.000123813282698393,7.65306467656046e-05,6.59205179545097e-05,0.000107185405795462,9.76780647761188e-05,0.000109093278297223,8.91458403202705e-05,0.000132226807181723,4.92708495585248e-05,0.000101978184829932,9.2783993750345e-05,7.77673849370331e-05,9.35980497160926e-05,5.2252653404139e-05,7.95423256931826e-05,0.000114739676064346,6.78749856888317e-05,4.0579165215604e-05,9.26821958273649e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,1,1.25549049698748e-05,-3.30257498717401e-05,1.43834704431356e-05,2.40460649365559e-05,1.10215360109578e-05,1.42596963996766e-05,1.61524385475786e-05,1.55810121214017e-05,3.18241814056819e-06,9.5641353254905e-06,3.21670340781566e-05,2.08175697480328e-06,2.14399733522441e-06,1.70032508322038e-05,-2.8135378670413e-05,2.86192480416503e-05,1.93181531358277e-05,2.53061916737352e-05,6.72087162456592e-06,3.08683920593467e-05,-2.4968767320388e-06,8.21643243398285e-06,-2.19064495468047e-05,1.00539800769184e-05,1.21626362670213e-05,0,0,0,0,0
